station,hour,trips_out_lag_1h,trips_out_lag_24h,trips_out_rolling_mean_3h,trips_in_lag_1h,trips_in_lag_24h,trips_in_rolling_mean_3h
10 St & 7 Ave,16,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,17,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,18,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,19,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,20,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,21,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,22,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,23,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,0,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,1,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,2,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,3,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,4,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,5,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,6,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,7,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,8,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,9,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,10,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,11,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,12,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,13,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,14,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,15,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,16,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,17,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,18,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,19,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,20,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,21,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,22,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 27 St,23,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,0,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,1,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,2,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,3,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,4,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,5,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,6,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,7,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,8,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,9,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,10,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,11,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,12,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,13,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,14,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,15,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,16,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,17,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,18,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,19,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,20,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,21,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,22,0.0,0.0,0.0,0.0,0.0,0.0
11 Ave & W 59 St,23,0.0,0.0,0.0,0.0,0.0,0.0
11 St & Washington St,0,0.0,0.0,0.0,0.0,0.0,0.33333334
11 St & Washington St,1,0.0,0.0,0.0,0.0,0.0,0.0
11 St & Washington St,2,0.0,0.0,0.0,0.0,0.0,0.0
11 St & Washington St,3,0.0,0.0,0.0,0.0,0.0,0.0
11 St & Washington St,4,0.0,0.0,0.0,0.0,0.0,0.0
11 St & Washington St,5,0.0,0.0,0.0,0.0,0.0,0.0
11 St & Washington St,6,0.0,0.0,0.0,0.0,0.0,0.0
11 St & Washington St,7,0.0,0.0,0.0,0.0,0.0,0.0
11 St & Washington St,8,0.0,0.0,0.33333334,0.0,0.0,0.0
11 St & Washington St,9,0.0,1.0,0.33333334,0.0,1.0,0.0
11 St & Washington St,10,1.0,1.0,0.6666667,1.0,0.0,0.33333334
11 St & Washington St,11,0.0,1.0,0.6666667,0.0,1.0,0.33333334
